hex_id,y_mean_kcal_ha,count,proj_x,proj_y,lon,lat
11398.0,2863517440.0,6.0,-1751392.9280310385,1629977.6665292569,-17.76750701814423,13.227830038873511
11399.0,1618672128.0,155.0,-1751392.9280310385,1779977.6665292569,-17.825524703897898,14.45474755036459
11410.0,1033182016.0,14.0,-1751392.9280310385,3429977.666529257,-18.894367153402058,28.179061554493355
11517.0,6330676224.0,782.0,-1578187.8472741507,1404977.6665292569,-15.941371613838557,11.39179907564759
11518.0,4096122880.0,1673.0,-1578187.8472741507,1554977.6665292569,-15.986137525299556,12.615269473617506
11519.0,2388793600.0,1706.0,-1578187.8472741507,1704977.6665292569,-16.035879667033306,13.840979583802667
11520.0,997718464.0,1742.0,-1578187.8472741507,1854977.6665292569,-16.09073333964963,15.069163714722768
11521.0,0.0,1280.0,-1578187.8472741507,2004977.6665292569,-16.15085032917168,16.300061526791062
11522.0,0.0,822.0,-1578187.8472741507,2154977.666529257,-16.216400133307673,17.533918649125436
11523.0,0.0,825.0,-1578187.8472741507,2304977.666529257,-16.28757136771141,18.770987338815292
11524.0,0.0,935.0,-1578187.8472741507,2454977.666529257,-16.364573376290704,20.01152718861002
11525.0,0.0,1453.0,-1578187.8472741507,2604977.666529257,-16.447638074084573,21.2558058897608
11526.0,0.0,885.0,-1578187.8472741507,2754977.666529257,-16.53702205656664,22.504100057650756
11527.0,0.0,201.0,-1578187.8472741507,2904977.666529257,-16.633009015651197,23.75669612891687
11530.0,2248871680.0,61.0,-1578187.8472741507,3354977.666529257,-16.963892258412535,27.54332866208728
11531.0,2754969856.0,180.0,-1578187.8472741507,3504977.666529257,-17.089776101542736,28.81622943501438
11534.0,6442313216.0,68.0,-1578187.8472741507,3954977.666529257,-17.5208172725331,32.67194485072261
11622.0,0.0,9.0,-1404982.766517263,-920022.3334707431,-14.092095830787445,-7.448889149612408
11635.0,9319339008.0,24.0,-1404982.766517263,1029977.6665292569,-14.110897184818066,8.341425758705427
11636.0,8536385024.0,402.0,-1404982.766517263,1179977.6665292569,-14.140113726554404,9.560291998071136
11637.0,7494661632.0,1599.0,-1404982.766517263,1329977.6665292569,-14.173517517848937,10.780831867402503
11638.0,5449114112.0,1856.0,-1404982.766517263,1479977.6665292569,-14.211196199966793,12.003268761912423
11639.0,2687792384.0,1856.0,-1404982.766517263,1629977.6665292569,-14.253249950330257,13.227830038873511
11640.0,1543944448.0,1895.0,-1404982.766517263,1779977.6665292569,-14.299792246654794,14.45474755036459
11641.0,24401192.0,1856.0,-1404982.766517263,1929977.6665292569,-14.350950751284048,15.684258206189702
11642.0,0.0,1857.0,-1404982.766517263,2079977.6665292569,-14.406868329728596,16.916604571491224
